file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
qt,43,0.6744,0,0,0,0,1,11
widget,398,0.7475,0,0,0,0,3,33
__init__,3,0.8333,0,0,0,0,0,0
migration,15,0.5667,0,0,0,0,3,4
query_snippet,31,0.7581,0,0,0,0,1,3
report_utils,24,0.6458,0,0,0,0,0,9
tag_utils,128,0.6992,0,0,0,0,18,21
utils,34,0.7206,0,0,0,0,1,2
context,3,0.8333,0,0,0,0,0,1
test_generator,8,0.5,0,0,0,0,0,1
__init__,4,0.625,0,0,0,0,0,1
conf,13,0.5385,0,0,0,0,0,1
actor_runner,13,0.8846,0,0,0,0,0,3
finance_runner,9,0.7778,0,0,0,0,0,3
index_runner,16,0.8125,0,0,0,0,0,4
joinquant_fund_runner,11,0.9545,0,0,0,0,0,3
joinquant_kdata_runner,8,0.6875,0,0,0,0,0,2
kdata_runner,40,0.625,0,0,0,1,3,6
sina_data_runner,15,0.7333,0,0,0,0,2,5
trading_runner,13,0.7692,0,0,0,0,0,3
boll_factor,29,0.7069,0,0,0,0,0,3
fundamental_selector,9,0.5556,0,0,0,0,0,0
tech_factor,9,0.6667,0,0,0,0,0,1
intent,36,0.625,0,0,0,0,0,2
sgd,17,0.7647,0,0,0,1,0,0
report_bull,14,0.6429,0,0,0,0,0,3
report_core_compay,11,0.9091,0,0,0,0,0,3
report_tops,28,0.8929,0,0,0,0,0,6
report_vol_up,18,0.6667,0,0,0,0,0,4
__init__,30,0.7833,0,0,0,0,4,8
dragon_and_tiger,6,0.8333,0,0,0,0,0,0
top_dragon_tiger,22,0.7273,0,0,0,0,0,4
top_tags,12,0.5833,0,0,0,0,0,1
dragon_and_tiger_trader,12,0.7083,0,0,0,0,0,1
follow_ii_trader,16,0.9062,0,0,0,0,0,1
keep_run_trader,8,0.6875,0,0,0,0,0,1
macd_day_trader,22,0.6591,0,0,0,0,0,0
macd_week_and_day_trader,11,0.6818,0,0,0,0,0,0
ma_trader,14,0.8571,0,0,0,0,0,0
consts,9,0.6111,0,0,0,0,0,0
fill_project,9,0.8889,0,0,0,0,0,1
main,9,0.6111,0,0,0,0,1,4
plugin,19,0.7368,0,0,0,0,1,1
zvt_server,11,0.6818,0,0,0,1,1,2
__init__,67,0.6866,0,0,0,0,12,21
intent,49,0.7143,0,0,0,0,1,9
kdata,67,0.6493,0,0,0,0,0,10
portfolio,25,0.76,0,0,0,0,0,1
